IdRegistro,IdPermeabilidad,Peso1,Peso2,Permeabilidad
REG-0012445,1,50,125.0,150
REG-0012446,1,50,126.0,152
REG-0012447,1,50,126.0,152
REG-0012448,1,50,129.0,158
REG-0012449,1,50,125.0,150
REG-0012450,1,50,126.0,152
REG-0012451,1,50,129.0,158
REG-0012452,1,50,126.0,152
REG-0012453,1,50,129.0,158
REG-0012454,1,50,128.0,156
REG-0012455,1,50,131.0,162
REG-0012456,1,50,129.0,158
REG-0012457,1,50,130.0,160
REG-0012458,1,50,138.0,176
REG-0012459,1,50,130.0,160
REG-0012460,1,50,136.0,172
REG-0012461,1,50,128.0,156
REG-0012462,1,50,132.0,164
REG-0012463,1,50,138.0,176
REG-0012464,1,50,128.0,156
REG-0012465,1,50,126.0,152
REG-0012466,1,50,128.0,156
REG-0012467,1,50,135.0,170
REG-0012468,1,50,130.0,160
REG-0012469,1,50,125.0,150
REG-0012470,1,50,123.0,146
REG-0012471,1,50,126.0,152
REG-0012472,1,50,135.0,170
REG-0012473,1,50,129.0,158
REG-0012474,1,50,131.0,162
REG-0012475,1,50,132.0,164
REG-0012476,1,50,128.0,156
REG-0012477,1,50,135.0,170
REG-0012478,1,50,129.0,158
REG-0012479,1,50,136.0,172
REG-0012480,1,50,128.0,156
REG-0012481,1,50,134.0,168
REG-0012482,1,50,128.0,156
REG-0012483,1,50,132.0,164
REG-0012484,1,50,130.0,160
REG-0012485,1,50,132.0,164
REG-0012486,1,50,129.0,158
REG-0012487,1,50,131.0,162
REG-0012488,1,50,128.0,156
REG-0012489,1,50,132.0,164
REG-0012490,1,50,128.0,156
REG-0012491,1,50,122.0,144
REG-0012492,1,50,127.0,154
REG-0012493,1,50,126.0,152
REG-0012494,1,50,128.0,156
REG-0012495,1,50,126.0,152
REG-0012496,1,50,125.0,150
REG-0012497,1,50,124.0,148
REG-0012498,1,50,128.0,156
REG-0012499,1,50,128.0,156
REG-0012500,1,50,127.0,154
REG-0012501,1,50,128.0,156
REG-0012502,1,50,132.0,164
REG-0012503,1,50,128.0,156
REG-0012504,1,50,132.0,164
REG-0012505,1,50,134.0,168
REG-0012506,1,50,132.0,164
REG-0012507,1,50,136.0,172
REG-0012508,1,50,128.0,156
REG-0012509,1,50,134.0,168
REG-0012510,1,50,132.0,164
REG-0012511,1,50,134.0,168
REG-0012512,1,50,136.0,172
REG-0012513,1,50,127.0,154
REG-0012514,1,50,128.0,156
REG-0012515,1,50,128.0,156
REG-0012516,1,50,127.0,154
REG-0012517,1,50,128.0,156
REG-0012518,1,50,128.0,156
REG-0012519,1,50,127.0,154
REG-0012520,1,50,135.0,170
REG-0012521,1,50,122.0,144
REG-0012522,1,50,127.0,154
REG-0012523,1,50,132.0,164
REG-0012524,1,50,132.0,164
REG-0012525,1,50,128.0,156
REG-0012526,1,50,132.0,164
REG-0012527,1,50,128.0,156
REG-0012528,1,50,128.0,156
REG-0012529,1,50,136.0,172
REG-0012530,1,50,138.0,176
REG-0012531,1,50,136.0,172
REG-0012532,1,50,134.0,168
REG-0012533,1,50,132.0,164
