IdRegistro,Proceso,Tamano,Fecha,IdTurno,IdIngeniero,IdTecnico,IdProducto,IdLinea,Hora,Lote,FechaProduccion,IdEtapa,TolvaPorEnvasar,CantidadBolsas,Toneladas,CodigoQM,IdDisenoProducto,IdAutorizador,VerEspTecnica,VerEtiqueta,VerFormula,Agrupador
REG-0012093,Extruido,"0,8",1/6/2026,1,,2,81,9,07:40:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012094,Extruido,"0,8",1/6/2026,1,,2,78,8,09:15:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012095,Extruido,"0,8",1/6/2026,1,,2,81,9,09:15:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012096,Extruido,"0,8",1/6/2026,1,,2,78,8,14:00:00,PE260106A0,06/01/26,1,,264,6.6,40000483108,617,1.0,,,165,HD14810
REG-0012097,Extruido,"0,8",1/6/2026,1,,2,81,9,14:00:00,PE260106B0,06/01/26,1,,198,4.95,40000483110,621,1.0,,,257,HD14257
REG-0012098,Extruido,"0,8",1/6/2026,1,,2,78,8,14:15:00,PE260106A0,06/01/26,2,,0,0,,617,,,,165,HD14810
REG-0012099,Extruido,"0,8",1/6/2026,1,,2,81,9,14:15:00,PE260106B0,06/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012100,Extruido,"0,8",1/6/2026,2,,2,81,9,15:30:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012101,Extruido,"0,8",1/6/2026,2,,2,78,8,17:20:00,PE260106A0,06/01/26,2,,0,0,,617,,,,165,HD14810
REG-0012102,Extruido,"0,8",1/6/2026,2,,2,81,9,17:20:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012103,Extruido,"0,8",1/6/2026,2,,6,78,8,19:40:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012104,Extruido,"0,8",1/6/2026,2,,6,81,9,19:41:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012105,Extruido,"0,8",1/6/2026,2,,6,78,8,21:30:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012106,Extruido,"0,8",1/6/2026,2,,6,81,9,21:31:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012107,Extruido,"0,8",1/6/2026,2,,6,78,8,22:00:00,PE260106A0,06/01/26,1,,660,16.5,40000483166,617,1.0,,,165,HD14810
REG-0012108,Extruido,"0,8",1/6/2026,2,,6,81,9,22:00:00,PE260106B0,06/01/26,1,,858,21.45,40000483167,621,1.0,,,257,HD14257
REG-0012109,Extruido,"0,8",1/6/2026,3,,6,78,8,23:10:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012110,Extruido,"0,8",1/6/2026,3,,6,81,9,00:48:00,PE260106B0,06/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012111,Extruido,"0,8",1/6/2026,3,,6,78,8,00:55:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012112,Extruido,"0,8",1/6/2026,3,,6,81,9,02:55:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012113,Extruido,"0,8",1/6/2026,3,,6,78,8,03:10:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012114,Extruido,"0,8",1/6/2026,3,,6,78,8,05:20:00,PE260106A0,06/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012115,Extruido,"0,8",1/6/2026,3,,6,81,9,05:30:00,PE260106B0,06/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012116,Extruido,"0,8",1/6/2026,3,,6,78,8,06:00:00,PE260106A0,06/01/26,1,,1584,39.6,40000483186-40000483070,617,1.0,,,165,HD14810
REG-0012117,Extruido,"0,8",1/6/2026,3,,6,81,9,06:00:00,PE260106B0,06/01/26,1,,990,24.75,40000483072,621,1.0,,,257,HD14257
REG-0012118,Extruido,"0,8",1/7/2026,1,,9,78,8,07:20:00,PE260107A0,07/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012119,Extruido,"0,8",1/7/2026,1,,9,81,9,07:20:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012120,Extruido,"0,8",1/7/2026,1,,9,78,8,09:20:00,PE260107A0,07/01/26,3,,0,0,,617,,,,165,HD14810
REG-0012121,Extruido,"0,8",1/7/2026,1,,9,78,8,10:00:00,PE260107A0,07/01/26,1,,356,8.9,40000483071,617,1.0,,,165,HD14810
REG-0012122,Extruido,"0,8",1/7/2026,1,,9,81,9,11:00:00,PE260107B0,07/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012123,Extruido,"0,8",1/7/2026,1,,9,81,9,13:00:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012124,Extruido,"0,8",1/7/2026,1,,9,81,9,13:30:00,PE260107B0,07/01/26,1,,462,11.55,40000483073,621,1.0,,,257,HD14257
REG-0012125,Extruido,"0,8",1/7/2026,2,,10,81,9,17:00:00,PE260107B0,07/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012126,Extruido,"0,8",1/7/2026,2,,10,81,9,19:00:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012127,Extruido,"0,8",1/7/2026,2,,10,81,9,21:00:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012128,Extruido,"0,8",1/7/2026,2,,10,81,9,21:30:00,PE260107B0,07/01/26,1,,594,14.85,40000483368,621,1.0,,,257,HD14257
REG-0012129,Extruido,"0,8",1/7/2026,3,,11,81,9,00:30:00,PE260107B0,07/01/26,1,,96,2.4,40000483095,621,1.0,,,257,HD14257
REG-0012130,Extruido,"0,8",1/7/2026,3,,11,81,9,01:50:00,PE260107B0,07/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012131,Extruido,"0,8",1/7/2026,3,,11,81,9,03:50:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012132,Extruido,"0,8",1/7/2026,3,,11,81,9,05:50:00,PE260107B0,07/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012133,Extruido,"0,8",1/7/2026,3,,11,81,9,06:30:00,PE260107B0,07/01/26,1,,726,18.15,40000483096,621,1.0,,,257,HD14257
REG-0012134,Extruido,"0,8",1/8/2026,1,,9,81,9,07:30:00,PE260108B0,08/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012135,Extruido,"0,8",1/8/2026,1,,9,81,9,11:15:00,PE260108B0,08/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012136,Extruido,"0,8",1/8/2026,1,,9,81,9,13:50:00,PE260108B0,08/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012137,Extruido,"0,8",1/8/2026,1,,9,81,9,14:30:00,PE260108B0,08/01/26,1,,132,3.3,40000483522,621,1.0,,,257,HD14257
REG-0012138,Extruido,"0,8",1/8/2026,2,,10,81,9,19:00:00,PE260108B0,08/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012139,Extruido,"0,8",1/8/2026,2,,10,81,9,21:00:00,PE260108B0,08/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012140,Extruido,"0,8",1/8/2026,2,,10,81,9,22:00:00,PE260108B0,08/01/26,1,,990,24.75,40000483615,621,1.0,,,257,HD14257
REG-0012141,Extruido,"0,8",1/8/2026,3,,6,81,9,23:40:00,PE260108B0,08/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012142,Extruido,"0,8",1/8/2026,3,,6,81,9,03:30:00,PE260108B0,08/01/26,2,,0,0,,621,,,,257,HD14257
REG-0012143,Extruido,"0,8",1/8/2026,3,,6,81,9,05:20:00,PE260108B0,08/01/26,3,,0,0,,621,,,,257,HD14257
REG-0012144,Extruido,"0,8",1/8/2026,3,,6,81,9,06:00:00,PE260108B0,08/01/26,1,,660,16.5,,621,1.0,,,257,HD14257
REG-0012145,Extruido,"0,8",1/9/2026,1,,9,81,9,07:30:00,PE260109B0,09/01/26,3,,0,0,,621,,,,257,HD14257
