IdRegistro,NroParticulas,Peso,TiempoHundimiento,PctFlotabilidad,PctHundimiento
REG-0012446,90.0,15.0,120.0,0.24,99.76
REG-0012447,50.0,15.0,120.0,0.14,99.86
REG-0012448,10.0,15.0,25.0,0.03,99.97
REG-0012449,32.0,15.0,92.0,0.09,99.91
REG-0012450,21.0,15.0,45.0,0.07,99.93
REG-0012451,90.0,15.0,120.0,0.26,99.74
REG-0012452,10.0,15.0,21.0,0.03,99.97
REG-0012453,35.0,15.0,120.0,0.1,99.9
REG-0012454,20.0,15.0,45.0,0.06,99.94
REG-0012455,48.0,15.0,120.0,0.13,99.87
REG-0012456,8.0,15.0,38.0,0.02,99.98
REG-0012457,5.0,15.0,40.0,0.02,99.98
REG-0012458,10.0,15.0,55.0,0.03,99.97
REG-0012459,15.0,15.0,65.0,0.05,99.95
REG-0012460,30.0,15.0,120.0,0.11,99.89
REG-0012461,12.0,15.0,60.0,0.04,99.96
REG-0012462,30.0,15.0,68.0,0.1,99.9
REG-0012463,50.0,15.0,98.0,0.14,99.86
REG-0012464,82.0,15.0,120.0,0.26,99.74
REG-0012465,78.0,15.0,80.0,0.2,99.8
REG-0012466,80.0,15.0,120.0,0.22,99.78
REG-0012467,70.0,15.0,75.0,0.21,99.79
REG-0012468,100.0,15.0,120.0,0.24,99.76
REG-0012469,120.0,15.0,120.0,0.43,99.58
REG-0012470,60.0,15.0,72.0,0.21,99.79
REG-0012471,90.0,15.0,120.0,0.32,99.68
REG-0012472,90.0,15.0,90.0,0.29,99.71
REG-0012473,70.0,15.0,82.0,0.2,99.8
REG-0012474,80.0,15.0,120.0,0.29,99.71
REG-0012475,120.0,15.0,120.0,0.34,99.66
REG-0012476,68.0,15.0,54.0,0.22,99.78
REG-0012477,110.0,15.0,120.0,0.33,99.67
REG-0012478,70.0,15.0,60.0,0.22,99.78
REG-0012479,180.0,15.0,120.0,0.47,99.53
REG-0012480,50.0,15.0,35.0,0.16,99.84
REG-0012481,174.0,15.0,120.0,0.48,99.52
REG-0012482,45.0,15.0,45.0,0.14,99.86
REG-0012483,30.0,15.0,65.0,0.09,99.91
REG-0012484,80.0,15.0,120.0,0.28,99.72
REG-0012485,40.0,15.0,58.0,0.11,99.89
REG-0012486,90.0,15.0,120.0,0.3,99.7
REG-0012487,40.0,15.0,45.0,0.11,99.89
REG-0012488,80.0,15.0,120.0,0.27,99.73
REG-0012489,60.0,15.0,68.0,0.16,99.84
REG-0012490,100.0,15.0,120.0,0.32,99.68
REG-0012491,50.0,15.0,120.0,0.15,99.85
REG-0012492,80.0,15.0,120.0,0.22,99.78
REG-0012493,120.0,15.0,120.0,0.37,99.63
REG-0012494,80.0,15.0,72.0,0.28,99.72
REG-0012495,50.0,15.0,78.0,0.18,99.82
REG-0012496,15.0,15.0,50.0,0.05,99.95
REG-0012497,50.0,15.0,76.0,0.17,99.83
REG-0012498,10.0,15.0,54.0,0.03,99.97
REG-0012499,60.0,15.0,82.0,0.18,99.82
REG-0012500,40.0,15.0,64.0,0.12,99.88
REG-0012501,200.0,15.0,120.0,0.55,99.45
REG-0012502,2.0,15.0,11.0,0.01,99.99
REG-0012503,330.0,15.0,120.0,1.01,98.99
REG-0012504,10.0,15.0,15.0,0.03,99.97
REG-0012505,12.0,15.0,18.0,0.04,99.96
REG-0012506,420.0,15.0,120.0,1.05,98.95
REG-0012507,10.0,15.0,20.0,0.03,99.97
REG-0012508,287.0,15.0,120.0,0.71,99.29
REG-0012509,5.0,15.0,15.0,0.01,99.99
REG-0012510,12.0,15.0,15.0,0.04,99.96
REG-0012511,280.0,15.0,120.0,0.74,99.26
REG-0012512,20.0,15.0,22.0,0.06,99.94
REG-0012513,180.0,15.0,120.0,0.42,99.58
REG-0012514,170.0,15.0,120.0,0.4,99.6
REG-0012515,120.0,15.0,120.0,0.33,99.67
REG-0012516,80.0,15.0,120.0,0.19,99.81
REG-0012517,80.0,15.0,96.0,0.23,99.77
REG-0012518,10.0,15.0,54.0,0.03,99.97
REG-0012519,120.0,15.0,110.0,0.34,99.66
REG-0012520,30.0,15.0,54.0,0.1,99.9
REG-0012521,10.0,15.0,48.0,0.03,99.97
REG-0012522,60.0,15.0,78.0,0.17,99.83
REG-0012523,30.0,15.0,42.0,0.1,99.9
REG-0012524,125.0,15.0,120.0,0.33,99.67
REG-0012525,25.0,15.0,56.0,0.08,99.92
REG-0012526,10.0,15.0,50.0,0.03,99.97
REG-0012527,10.0,15.0,50.0,0.03,99.97
REG-0012528,40.0,15.0,88.0,0.12,99.88
REG-0012529,25.0,15.0,70.0,0.08,99.92
REG-0012530,45.0,15.0,120.0,0.11,99.89
REG-0012531,30.0,15.0,80.0,0.08,99.92
REG-0012532,300.0,15.0,120.0,0.89,99.11
REG-0012533,20.0,15.0,74.0,0.06,99.94
REG-0012534,30.0,15.0,70.0,0.09,99.91
REG-0012535,40.0,15.0,75.0,0.12,99.88
REG-0012536,3.0,15.0,45.0,0.01,99.99
REG-0012537,220.0,15.0,120.0,0.5,99.5
REG-0012538,14.0,15.0,70.0,0.05,99.95
