IdRegistro,IdRango,Valor
REG-0012069,144,29.11
REG-0012069,145,38.46
REG-0012069,146,17.7
REG-0012069,147,7.26
REG-0012069,148,2.63
REG-0012069,149,1.14
REG-0012069,150,0.59
REG-0012069,151,0.38
REG-0012070,138,130
REG-0012070,139,160
REG-0012070,140,BUENA
REG-0012070,141,0.04
REG-0012070,142,0.14
REG-0012070,143,1.63
REG-0012070,144,11.75
REG-0012070,145,19.65
REG-0012070,146,17.35
REG-0012070,147,16.69
REG-0012070,148,12.54
REG-0012070,149,6.91
REG-0012070,150,3.64
REG-0012070,151,2.13
REG-0012071,138,128
REG-0012071,139,156
REG-0012071,140,BUENA
REG-0012071,141,0.03
REG-0012071,142,0.04
REG-0012071,143,0.82
REG-0012071,144,6.63
REG-0012071,145,11.58
REG-0012071,146,10.63
REG-0012071,147,11.87
REG-0012071,148,12.32
REG-0012071,149,11.82
REG-0012071,150,10.24
REG-0012071,151,8.11
REG-0012072,138,130
REG-0012072,139,160
REG-0012072,140,BUENA
REG-0012072,141,0.12
REG-0012072,142,0.27
REG-0012072,143,2.01
REG-0012072,144,12.38
REG-0012072,145,19.81
REG-0012072,146,17.74
REG-0012072,147,15.91
REG-0012072,148,11.81
REG-0012072,149,6.71
REG-0012072,150,3.48
REG-0012072,151,2.11
REG-0012073,138,136
REG-0012073,139,172
REG-0012073,140,BUENA
REG-0012073,141,0.01
REG-0012073,142,0.1
REG-0012073,143,1.89
REG-0012073,144,21.06
REG-0012073,145,26.34
REG-0012073,146,16.11
REG-0012073,147,9.16
REG-0012073,148,6.29
REG-0012073,149,4.87
REG-0012073,150,3.72
REG-0012073,151,2.81
REG-0012074,138,134
REG-0012074,139,168
REG-0012074,140,BUENA
REG-0012074,141,0.05
REG-0012074,142,0.15
REG-0012074,143,1.56
REG-0012074,144,10.85
REG-0012074,145,17.15
REG-0012074,146,15.88
REG-0012074,147,17.05
REG-0012074,148,13.6
REG-0012074,149,8.52
REG-0012074,150,4.75
REG-0012074,151,2.62
REG-0012075,138,127
REG-0012075,139,154
REG-0012075,140,BUENA
REG-0012075,141,0.02
REG-0012075,142,0.1
REG-0012075,143,1.19
REG-0012075,144,5.86
REG-0012075,145,10.29
REG-0012075,146,9.36
REG-0012075,147,9.66
REG-0012075,148,11.01
REG-0012075,149,11.11
REG-0012075,150,10.16
REG-0012075,151,8.38
REG-0012076,138,124
REG-0012076,139,148
REG-0012076,140,BUENA
REG-0012076,141,0.09
REG-0012076,142,0.22
REG-0012076,143,1.74
REG-0012076,144,10.65
REG-0012076,145,18.01
REG-0012076,146,16.07
REG-0012076,147,15.86
REG-0012076,148,12.94
REG-0012076,149,8.32
REG-0012076,150,4.62
REG-0012076,151,2.69
REG-0012077,138,127
REG-0012077,139,154
REG-0012077,140,BUENA
REG-0012077,141,0.02
REG-0012077,142,0.21
REG-0012077,143,2.42
REG-0012077,144,10.25
REG-0012077,145,16.26
REG-0012077,146,13.17
REG-0012077,147,11.86
REG-0012077,148,10.99
REG-0012077,149,9.35
REG-0012077,150,7.49
REG-0012077,151,5.67
REG-0012078,138,127
REG-0012078,139,154
REG-0012078,140,BUENA
REG-0012078,141,0.09
REG-0012078,142,0.3
REG-0012078,143,2.66
REG-0012078,144,13.83
REG-0012078,145,16.98
REG-0012078,146,16.43
REG-0012078,147,15.36
REG-0012078,148,12.64
REG-0012078,149,7.58
REG-0012078,150,4.13
