IdRegistro,IdMotivo_Causa,IdDecision,ObservacionPulmon
REG-0012774,110.0,,Flotabilidad 0.40
REG-0012775,113.0,,Flotabilidad 0.16 / Particulas por gramo 1889
REG-0012776,113.0,,Flotabilidad 0.53
REG-0012777,113.0,1.0,Flotabilidad 1.50
REG-0012778,,,
REG-0012779,,,
REG-0012780,,,
REG-0012781,,,
REG-0012782,,,
REG-0012783,,,
REG-0012784,,,
REG-0012785,,,
REG-0012786,,,
REG-0012787,,,
REG-0012788,113.0,1.0,Flotabilidad 1.42
REG-0012789,6.0,1.0,Aw alto 0.68 / Humedad alta 13.52
REG-0012790,,,
REG-0012791,,,
REG-0012792,113.0,,Flotabilidad 0.26 / Densidad 1.29
REG-0012793,113.0,,Flotabilidad 0.23 / Particulas por gramo 2300
REG-0012794,113.0,,Flotabilidad 0.47 / Densidad 1.29
REG-0012795,,,
REG-0012796,,,
REG-0012797,,,
REG-0012798,,,
REG-0012799,113.0,,Flotabilidad  0.34
REG-0012800,,,
REG-0012801,,,
REG-0012802,,,
REG-0012803,,,
REG-0012804,,,
REG-0012805,113.0,,Flotabilidad 0.03 / Particulas por gramo 2350
